GO,n_genes,TERM,contrast,term_label
GO:0000463,11,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000723,11,telomere maintenance,mature_vs_early,telomere maintenance
GO:0000750,11,pheromone-dependent signal transduction involved in conjugation with cellular fusion,mature_vs_early,pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0006396,11,RNA processing,mature_vs_early,RNA processing
GO:0006413,11,translational initiation,mature_vs_early,translational initiation
GO:0006506,11,GPI anchor biosynthetic process,mature_vs_early,GPI anchor biosynthetic process
GO:0006520,11,amino acid metabolic process,mature_vs_early,amino acid metabolic process
GO:0006633,11,fatty acid biosynthetic process,mature_vs_early,fatty acid biosynthetic process
GO:0006812,11,monoatomic cation transport,mature_vs_early,monoatomic cation transport
GO:0006878,11,intracellular copper ion homeostasis,mature_vs_early,intracellular copper ion homeostasis
GO:0006887,11,exocytosis,mature_vs_early,exocytosis
GO:0006890,11,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",mature_vs_early,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
GO:0006915,11,apoptotic process,mature_vs_early,apoptotic process
GO:0007015,11,actin filament organization,mature_vs_early,actin filament organization
GO:0007034,11,vacuolar transport,mature_vs_early,vacuolar transport
GO:0007064,11,mitotic sister chromatid cohesion,mature_vs_early,mitotic sister chromatid cohesion
GO:0009267,11,cellular response to starvation,mature_vs_early,cellular response to starvation
GO:0015986,11,proton motive force-driven ATP synthesis,mature_vs_early,proton motive force-driven ATP synthesis
GO:0034727,11,piecemeal microautophagy of the nucleus,mature_vs_early,piecemeal microautophagy of the nucleus
GO:0043328,11,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,mature_vs_early,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0051123,11,RNA polymerase II preinitiation complex assembly,mature_vs_early,RNA polymerase II preinitiation complex assembly
GO:0061620,11,glycolytic process through glucose-6-phosphate,mature_vs_early,glycolytic process through glucose-6-phosphate
GO:0065003,11,protein-containing complex assembly,mature_vs_early,protein-containing complex assembly
GO:0000097,10,sulfur amino acid biosynthetic process,mature_vs_early,sulfur amino acid biosynthetic process
GO:0000184,10,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",mature_vs_early,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000472,10,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000480,10,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000722,10,telomere maintenance via recombination,mature_vs_early,telomere maintenance via recombination
GO:0000920,10,septum digestion after cytokinesis,mature_vs_early,septum digestion after cytokinesis
GO:0006754,10,ATP biosynthetic process,mature_vs_early,ATP biosynthetic process
GO:0006986,10,response to unfolded protein,mature_vs_early,response to unfolded protein
GO:0007010,10,cytoskeleton organization,mature_vs_early,cytoskeleton organization
GO:0007031,10,peroxisome organization,mature_vs_early,peroxisome organization
GO:0008643,10,carbohydrate transport,mature_vs_early,carbohydrate transport
GO:0015914,10,phospholipid transport,mature_vs_early,phospholipid transport
GO:0015918,10,sterol transport,mature_vs_early,sterol transport
GO:0030036,10,actin cytoskeleton organization,mature_vs_early,actin cytoskeleton organization
GO:0030148,10,sphingolipid biosynthetic process,mature_vs_early,sphingolipid biosynthetic process
GO:0030150,10,protein import into mitochondrial matrix,mature_vs_early,protein import into mitochondrial matrix
GO:0042790,10,nucleolar large rRNA transcription by RNA polymerase I,mature_vs_early,nucleolar large rRNA transcription by RNA polymerase I
GO:0043248,10,proteasome assembly,mature_vs_early,proteasome assembly
GO:0044238,10,primary metabolic process,mature_vs_early,primary metabolic process
GO:0000001,9,mitochondrion inheritance,mature_vs_early,mitochondrion inheritance
GO:0000054,9,ribosomal subunit export from nucleus,mature_vs_early,ribosomal subunit export from nucleus
GO:0000055,9,ribosomal large subunit export from nucleus,mature_vs_early,ribosomal large subunit export from nucleus
GO:0000183,9,rDNA heterochromatin formation,mature_vs_early,rDNA heterochromatin formation
GO:0000209,9,protein polyubiquitination,mature_vs_early,protein polyubiquitination
GO:0000470,9,maturation of LSU-rRNA,mature_vs_early,maturation of LSU-rRNA
GO:0000724,9,double-strand break repair via homologous recombination,mature_vs_early,double-strand break repair via homologous recombination
GO:0006006,9,glucose metabolic process,mature_vs_early,glucose metabolic process
GO:0006303,9,double-strand break repair via nonhomologous end joining,mature_vs_early,double-strand break repair via nonhomologous end joining
GO:0006414,9,translational elongation,mature_vs_early,translational elongation
GO:0006415,9,translational termination,mature_vs_early,translational termination
GO:0006749,9,glutathione metabolic process,mature_vs_early,glutathione metabolic process
GO:0006825,9,copper ion transport,mature_vs_early,copper ion transport
GO:0006891,9,intra-Golgi vesicle-mediated transport,mature_vs_early,intra-Golgi vesicle-mediated transport
GO:0007052,9,mitotic spindle organization,mature_vs_early,mitotic spindle organization
GO:0007089,9,traversing start control point of mitotic cell cycle,mature_vs_early,traversing start control point of mitotic cell cycle
GO:0009410,9,response to xenobiotic stimulus,mature_vs_early,response to xenobiotic stimulus
GO:0010499,9,proteasomal ubiquitin-independent protein catabolic process,mature_vs_early,proteasomal ubiquitin-independent protein catabolic process
GO:0015677,9,copper ion import,mature_vs_early,copper ion import
GO:0030003,9,intracellular monoatomic cation homeostasis,mature_vs_early,intracellular monoatomic cation homeostasis
GO:0034976,9,response to endoplasmic reticulum stress,mature_vs_early,response to endoplasmic reticulum stress
GO:0042274,9,ribosomal small subunit biogenesis,mature_vs_early,ribosomal small subunit biogenesis
GO:0045893,9,positive regulation of DNA-templated transcription,mature_vs_early,positive regulation of DNA-templated transcription
GO:0070651,9,nonfunctional rRNA decay,mature_vs_early,nonfunctional rRNA decay
GO:0000077,8,DNA damage checkpoint signaling,mature_vs_early,DNA damage checkpoint signaling
GO:0000282,8,cellular bud site selection,mature_vs_early,cellular bud site selection
GO:0000747,8,conjugation with cellular fusion,mature_vs_early,conjugation with cellular fusion
GO:0006031,8,chitin biosynthetic process,mature_vs_early,chitin biosynthetic process
GO:0006418,8,tRNA aminoacylation for protein translation,mature_vs_early,tRNA aminoacylation for protein translation
GO:0006450,8,regulation of translational fidelity,mature_vs_early,regulation of translational fidelity
GO:0006487,8,protein N-linked glycosylation,mature_vs_early,protein N-linked glycosylation
GO:0006569,8,L-tryptophan catabolic process,mature_vs_early,L-tryptophan catabolic process
GO:0006616,8,"SRP-dependent cotranslational protein targeting to membrane, translocation",mature_vs_early,"SRP-dependent cotranslational protein targeting to membrane, translocation"
GO:0006913,8,nucleocytoplasmic transport,mature_vs_early,nucleocytoplasmic transport
GO:0008298,8,intracellular mRNA localization,mature_vs_early,intracellular mRNA localization
GO:0009165,8,nucleotide biosynthetic process,mature_vs_early,nucleotide biosynthetic process
GO:0009272,8,fungal-type cell wall biogenesis,mature_vs_early,fungal-type cell wall biogenesis
GO:0015755,8,fructose transmembrane transport,mature_vs_early,fructose transmembrane transport
GO:0015761,8,mannose transmembrane transport,mature_vs_early,mannose transmembrane transport
GO:0016042,8,lipid catabolic process,mature_vs_early,lipid catabolic process
GO:0019236,8,response to pheromone,mature_vs_early,response to pheromone
GO:0019367,8,"fatty acid elongation, saturated fatty acid",mature_vs_early,"fatty acid elongation, saturated fatty acid"
GO:0019395,8,fatty acid oxidation,mature_vs_early,fatty acid oxidation
GO:0030466,8,silent mating-type cassette heterochromatin formation,mature_vs_early,silent mating-type cassette heterochromatin formation
GO:0030474,8,spindle pole body duplication,mature_vs_early,spindle pole body duplication
GO:0030968,8,endoplasmic reticulum unfolded protein response,mature_vs_early,endoplasmic reticulum unfolded protein response
GO:0032880,8,regulation of protein localization,mature_vs_early,regulation of protein localization
GO:0042407,8,cristae formation,mature_vs_early,cristae formation
GO:0045039,8,protein insertion into mitochondrial inner membrane,mature_vs_early,protein insertion into mitochondrial inner membrane
GO:0045333,8,cellular respiration,mature_vs_early,cellular respiration
GO:0051604,8,protein maturation,mature_vs_early,protein maturation
GO:0072671,8,mitochondria-associated ubiquitin-dependent protein catabolic process,mature_vs_early,mitochondria-associated ubiquitin-dependent protein catabolic process
GO:0000023,7,maltose metabolic process,mature_vs_early,maltose metabolic process
GO:0000272,7,polysaccharide catabolic process,mature_vs_early,polysaccharide catabolic process
GO:0000288,7,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",mature_vs_early,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
GO:0000956,7,nuclear-transcribed mRNA catabolic process,mature_vs_early,nuclear-transcribed mRNA catabolic process
GO:0005978,7,glycogen biosynthetic process,mature_vs_early,glycogen biosynthetic process
GO:0006097,7,glyoxylate cycle,mature_vs_early,glyoxylate cycle
GO:0006122,7,"mitochondrial electron transport, ubiquinol to cytochrome c",mature_vs_early,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0006302,7,double-strand break repair,mature_vs_early,double-strand break repair
GO:0006352,7,DNA-templated transcription initiation,mature_vs_early,DNA-templated transcription initiation
GO:0006360,7,transcription by RNA polymerase I,mature_vs_early,transcription by RNA polymerase I
GO:0006550,7,L-isoleucine catabolic process,mature_vs_early,L-isoleucine catabolic process
GO:0006574,7,L-valine catabolic process,mature_vs_early,L-valine catabolic process
GO:0006612,7,protein targeting to membrane,mature_vs_early,protein targeting to membrane
GO:0006656,7,phosphatidylcholine biosynthetic process,mature_vs_early,phosphatidylcholine biosynthetic process
GO:0006817,7,phosphate ion transport,mature_vs_early,phosphate ion transport
GO:0006873,7,intracellular monoatomic ion homeostasis,mature_vs_early,intracellular monoatomic ion homeostasis
GO:0006970,7,response to osmotic stress,mature_vs_early,response to osmotic stress
GO:0007094,7,mitotic spindle assembly checkpoint signaling,mature_vs_early,mitotic spindle assembly checkpoint signaling
GO:0008104,7,intracellular protein localization,mature_vs_early,intracellular protein localization
GO:0008645,7,hexose transmembrane transport,mature_vs_early,hexose transmembrane transport
GO:0009435,7,NAD+ biosynthetic process,mature_vs_early,NAD+ biosynthetic process
GO:0016579,7,protein deubiquitination,mature_vs_early,protein deubiquitination
GO:0017148,7,negative regulation of translation,mature_vs_early,negative regulation of translation
GO:0019344,7,cysteine biosynthetic process,mature_vs_early,cysteine biosynthetic process
GO:0031146,7,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,mature_vs_early,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0033615,7,mitochondrial proton-transporting ATP synthase complex assembly,mature_vs_early,mitochondrial proton-transporting ATP synthase complex assembly
GO:0034975,7,protein folding in endoplasmic reticulum,mature_vs_early,protein folding in endoplasmic reticulum
GO:0044281,7,small molecule metabolic process,mature_vs_early,small molecule metabolic process
